Binomial	Genome
Ornithorhynchus anatinus	1
Monodelphis domestica	1
Sarcophilus harrisii	1
Thylacinus cynocephalus	1
Macropus eugenii	1
Phascolarctos cinereus	1
Erinaceus europaeus	1
Megaderma lyra	1
Pteronotus parnellii	1
Pteropus vampyrus	1
Eidolon helvum	1
Rhinolophus ferrumequinum	1
Myotis lucifugus	1
Otolemur garnettii	1
Macaca mulatta	1
Macaca fascicularis	1
Pongo pygmaeus	1
Pongo abelii	1
Gorilla gorilla	1
Homo sapiens	1
Homo neanderthalensis	1
Pan troglodytes	1
Pan paniscus	1
Callithrix jacchus	1
Acinonyx jubatus	1
Felis silvestris	1
Panthera leo	1
Panthera pardus	1
Panthera tigris	1
Panthera uncia	1
Prionailurus bengalensis	1
Canis familiaris	1
Canis lupus	1
Lycaon pictus	1
Ailuropoda melanoleuca	1
Ursus arctos	1
Ursus americanus	1
Ursus maritimus	1
Odobenus rosmarus	1
Mustela erminea	1
Mustela putorius	1
Tursiops truncatus	1
Balaenoptera acutorostrata	1
Balaenoptera physalus	1
Neophocaena phocaenoides	1
Orcinus orca	1
Sousa chinensis	1
Delphinapterus	1
Elephas maximus	1
Loxodonta africana	1
Trichechus manatus	1
Equus caballus	1
Antilocapra americana	1
Sus scrofa	1
Ammotragus lervia	1
Antidorcas marsupialis	1
Bison bonasus	1
Bos grunniens	1
Bos indicus	1
Bos taurus	1
Bubalus bubalis	1
Capra ibex	1
Cephalophus harveyi	1
Connochaetes taurinus	1
Damaliscus lunatus	1
Gazella thomsoni	1
Hippotragus niger	1
Kobus ellipsiprymnus	1
Litocranius walleri	1
Oreotragus oreotragus	1
Oryx gazella	1
Ourebia ourebi	1
Ovis ammon	1
Nanger granti	1
Neotragus moschatus	1
Neotragus pygmaeus	1
Philantomba maxwellii	1
Procapra przewalskii	1
Pseudois nayaur	1
Raphicerus campestris	1
Redunca redunca	1
Syncerus caffer	1
Sylvicapra grimmia	1
Tragelaphus	1
Tragelaphus buxtoni	1
Tragelaphus strepsiceros	1
Tragelaphus imberbis	1
Tragelaphus spekii	1
Tragelaphus scriptus	1
Taurotragus oryx	1
Cervus albirostris	1
Elaphurus davidianus	1
Muntiacus crinifrons	1
Muntiacus muntjak	1
Muntiacus reevesi	1
Rangifer tarandus	1
Giraffa camelopardalis	1
Okapia johnstoni	1
Moschus berezovskii	1
Moschus chrysogaster	1
Tragulus javanicus	1
Hydrochoerus hydrochaeris	1
Mus musculus	1
Rattus norvegicus	1
Oryctolagus cuniculus	1
Alligator mississippiensis	1
Alligator sinensis	1
Gavialis gangeticus	1
Crocodylus porosus	1
Anolis carolinensis	1
Pantherophis guttatus	1
Python molurus	1
Ophiophagus hannah	1
Dopasia gracilis	1
Pogona vitticeps	1
Salvator merinae	1
Shinisaurus crocodilurus	1
Chelonia mydas	1
Pelodiscus sinensis	1
Platysternon megacephalum	1
Chrysemys picta	1
Ambystoma mexicanum	1
Xenopus tropicalis	1
Nanorana parkeri	1
Rana catesbeiana	1
Rhinella marina	1
Haliaeetus albicilla	1
Haliaeetus leucocephalus	1
Aegypius monachus	1
Aquila chrysaetos	1
Anas platyrhynchos	1
Chaetura pelagica	1
Buceros rhinoceros	1
Antrostomus carolinensis	1
Cariama cristata	1
Cathartes aura	1
Charadrius vociferus	1
Himantopus novaezelandiae	1
Himantopus himantopus	1
Recurvirostra avosetta	1
Nipponia nippon	1
Colius striatus	1
Columba livia	1
Merops nubicus	1
Cuculus canorus	1
Tauraco erythrolophus	1
Eurypyga helias	1
Falco cherrug	1
Falco peregrinus	1
Gallus gallus	1
Meleagris gallopavo	1
Pavo cristatus	1
Syrmaticus mikado	1
Tetrao tetrix	1
Gavia stellata	1
Balearica regulorum	1
Chlamydotis macqueenii	1
Leptosomus discolor	1
Mesitornis unicolor	1
Opisthocomus hoazin	1
Acanthisitta chloris	1
Corvus brachyrhynchos	1
Corvus hawaiiensis	1
Ficedula albicollis	1
Ficedula hypoleuca	1
Geospiza fortis	1
Hirundo rustica	1
Lonchura striata	1
Manacus vitellinus	1
Lycocorax pyrrhopterus	1
Manacus vitellinus	1
Paradisaea rubra	1
Pteridophora alberti	1
Ptiloris paradiseus	1
Taeniopygia guttata	1
Egretta garzetta	1
Pelecanus crispus	1
Phaethon lepturus	1
Phoenicopterus ruber	1
Picoides pubescens	1
Podiceps cristatus	1
Fulmarus glacialis	1
Pterocles gutturalis	1
Amazona vittata	1
Ara macao	1
Melopsittacus undulatus	1
Nestor notabilis	1
Struthio camelus	1
Aptenodytes forsteri	1
Pygoscelis adeliae	1
Tyto alba	1
Strix occidentalis caurina	1
Strix varia	1
Phalacrocorax auritus	1
Phalacrocorax brasilianus	1
Phalacrocorax carbo	1
Phalacrocorax harrisi	1
Phalacrocorax pelagicus	1
Tinamus guttatus	1
Calypte anna	1
Apaloderma vittatum	1
